scenario,role,effect_fraction,n_pairs,active_calls,calls_with_shams,coupling,unusable_fraction,expected_focus_difference,expected_nondefault_difference,pooled_hits,pooled_n_simulations,pooled_rate,pooled_ci_lo,pooled_ci_hi,nondefault_hits,nondefault_n_simulations,nondefault_rate,nondefault_ci_lo,nondefault_ci_hi,joint_hits,joint_n_simulations,joint_rate,joint_ci_lo,joint_ci_hi,focus_fairness_hits,focus_fairness_n_simulations,focus_fairness_rate,focus_fairness_ci_lo,focus_fairness_ci_hi,focus_risk_hits,focus_risk_n_simulations,focus_risk_rate,focus_risk_ci_lo,focus_risk_ci_hi,focus_expertise_hits,focus_expertise_n_simulations,focus_expertise_rate,focus_expertise_ci_lo,focus_expertise_ci_hi
belief_static,invariant_null,0.0,576,1152,1536,independent,0.1,6.842520377464073e-18,9.974659986866641e-18,93,5000,0.0186,0.015207834375972463,0.02273133620049023,79,5000,0.0158,0.012696585024719542,0.019646884840513613,23,5000,0.0046,0.003067229476888848,0.006893437543426104,76,5000,0.0152,0.012161821505719159,0.018982569635679084,85,5000,0.017,0.013769835859113387,0.020971791453789572,104,5000,0.0208,0.017196500586557525,0.025139291977299815
belief_static,invariant_null,0.0,576,1152,1536,negative_bound,0.0,6.842520377464073e-18,9.974659986866641e-18,104,5000,0.0208,0.017196500586557525,0.025139291977299815,101,5000,0.0202,0.016652929613278054,0.024483784226744385,30,5000,0.006,0.0042061089708657195,0.008552408405064008,84,5000,0.0168,0.01359063218705935,0.020751302217898636,103,5000,0.0206,0.017015214447012893,0.024920885208899485,109,5000,0.0218,0.018104316188142542,0.026229940915439637
belief_static,invariant_null,0.0,576,1152,1536,negative_bound,0.1,6.842520377464073e-18,9.974659986866641e-18,95,5000,0.019,0.015568477172636963,0.023170079219715665,114,5000,0.0228,0.019014328722336056,0.027318392920970963,36,5000,0.0072,0.005205365212759887,0.009951309610839645,84,5000,0.0168,0.01359063218705935,0.020751302217898636,89,5000,0.0178,0.014487890891917016,0.021852508052765812,104,5000,0.0208,0.017196500586557525,0.025139291977299815
dynamic_fraction:1,dynamic_alternative,1.0,18,36,48,independent,0.0,0.08571565495966306,0.0831167844798872,167,5000,0.0334,0.02876682416077008,0.03874962160362023,30,5000,0.006,0.0042061089708657195,0.008552408405064008,14,5000,0.0028,0.0016686615436143238,0.0046947693051959186,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694,2,5000,0.0004,0.0001096989857531115,0.001457416967717518
dynamic_fraction:1,dynamic_alternative,1.0,18,36,48,independent,0.1,0.08571565495966306,0.0831167844798872,128,5000,0.0256,0.021572924158551787,0.030355498195984782,20,5000,0.004,0.0025909223507485585,0.006170665945731489,11,5000,0.0022,0.001228902612090369,0.00393544951288497,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694
dynamic_fraction:1,dynamic_alternative,1.0,18,36,48,negative_bound,0.0,0.08571565495966306,0.0831167844798872,173,5000,0.0346,0.029880685470605045,0.040033917741455066,92,5000,0.0184,0.015027678088938907,0.02251179957957882,51,5000,0.0102,0.007766697200760391,0.01338537124201366,0,5000,0.0,0.0,0.000767730137580694,9,5000,0.0018,0.0009472826989451401,0.0034176836101402633,10,5000,0.002,0.0010867350406975989,0.003677924176332773
dynamic_fraction:1,dynamic_alternative,1.0,18,36,48,negative_bound,0.1,0.08571565495966306,0.0831167844798872,165,5000,0.033,0.028395911697294635,0.03832114825120575,57,5000,0.0114,0.008809803672749156,0.014740422217694699,34,5000,0.0068,0.004870303811000636,0.00948698519670896,0,5000,0.0,0.0,0.000767730137580694,4,5000,0.0008,0.0003111419445903861,0.0020553598247701793,6,5000,0.0012,0.0005500756587335479,0.002615811926516952
dynamic_fraction:1,dynamic_alternative,1.0,36,72,96,independent,0.0,0.07545147803434261,0.06674250176224682,338,5000,0.0676,0.06096774246342144,0.07489619055955835,157,5000,0.0314,0.026914224194560334,0.036605292490380296,84,5000,0.0168,0.01359063218705935,0.020751302217898636,0,5000,0.0,0.0,0.000767730137580694,62,5000,0.0124,0.009685341838572314,0.015863348591596382,77,5000,0.0154,0.012339931229922144,0.01920415281942107
dynamic_fraction:1,dynamic_alternative,1.0,36,72,96,independent,0.1,0.07545147803434261,0.06674250176224682,322,5000,0.0644,0.057924900026326734,0.07154394646953356,119,5000,0.0238,0.019926399474346095,0.02840478670868577,75,5000,0.015,0.011983860272495058,0.018760837960958218,0,5000,0.0,0.0,0.000767730137580694,32,5000,0.0064,0.0045371596862706365,0.009020743505549026,55,5000,0.011,0.008461131724304237,0.014289708350249683
dynamic_fraction:1,dynamic_alternative,1.0,36,72,96,negative_bound,0.0,0.07545147803434261,0.06674250176224682,308,5000,0.0616,0.05526632104429989,0.06860682474033088,185,5000,0.037,0.032113193925819086,0.04259772418158064,96,5000,0.0192,0.01574896030669719,0.023389288993600408,5,5000,0.001,0.00042720718893578876,0.0023389874883697442,127,5000,0.0254,0.021389687778586568,0.03013904166800503,112,5000,0.0224,0.018650069297506275,0.026883266529910813
