subset,metric,direction,mean,sd,median,min,max,n_groups,iqr_outliers,ci_lo,ci_hi
own_round:10,accuracy,simple_minus_belief,0.008333333333333333,0.037267799624996496,0.0,0.0,0.16666666666666666,20,1,0.0,0.025
own_round:11,log_loss,simple_minus_belief,-0.006901956439233558,0.05632262172989662,0.011173958601558587,-0.13198671342076634,0.07214626473613334,20,0,-0.03200283875307177,0.016178169256234793
own_round:11,brier,simple_minus_belief,-0.002531692399226452,0.0274753598667157,-0.0008719468142333021,-0.06343001892728763,0.04645112779008203,20,0,-0.014699131201557244,0.009149048294118481
own_round:11,accuracy,simple_minus_belief,0.0125,0.040780040410799405,0.0,0.0,0.16666666666666666,20,2,0.0,0.03333333333333333
own_round:12,log_loss,simple_minus_belief,-0.0077421595401752225,0.04282896162729451,-0.006246242989468752,-0.07689960454160479,0.07617101304670738,20,0,-0.025731105087893967,0.010138236613143064
own_round:12,brier,simple_minus_belief,-0.0038560147721983574,0.02842261500321647,-0.0009621033950032729,-0.060810296166095006,0.04170669685843191,20,0,-0.01632432033848735,0.007875738885077734
own_round:12,accuracy,simple_minus_belief,0.025,0.07694837640638656,0.0,-0.08333333333333333,0.16666666666666666,20,6,-0.0041666666666666675,0.058333333333333334
own_round:13,log_loss,simple_minus_belief,0.0024106054086691768,0.09974039030516306,0.0074733904494757655,-0.22244964065223943,0.1814629658325054,20,0,-0.04130282205995685,0.04557313410482906
own_round:13,brier,simple_minus_belief,-0.0010705882990920386,0.05495671744067379,0.005852323805982802,-0.13828158172865518,0.072238465380911,20,1,-0.025849980926998993,0.022365703784624758
own_round:13,accuracy,simple_minus_belief,0.016666666666666666,0.08377078165833908,0.0,-0.16666666666666666,0.25,20,6,-0.01666666666666667,0.05416666666666666
own_round:14,log_loss,simple_minus_belief,0.00865256220885087,0.07202903749396962,-0.0033431816539498593,-0.13256636959463122,0.17514742719439308,20,1,-0.021119843002887006,0.0398051724769382
own_round:14,brier,simple_minus_belief,0.00548755939321139,0.04577781965180343,0.0021793326188620206,-0.0823987992889183,0.12091566374599567,20,1,-0.013469907992627176,0.025359477705780547
own_round:14,accuracy,simple_minus_belief,0.0125,0.06209665169754954,0.0,-0.08333333333333333,0.16666666666666666,20,5,-0.0125,0.041666666666666664
own_round:15,log_loss,simple_minus_belief,-0.028419713200958818,0.07005262435313343,-0.012627550626828762,-0.18170060072618732,0.06044011261335071,20,0,-0.058618603813347235,0.00027193569896070475
own_round:15,brier,simple_minus_belief,-0.02164765259343801,0.04752054527334195,-0.014154964920207425,-0.13913821246952063,0.056812789190248306,20,1,-0.04247542201326553,-0.0018774628501877293
own_round:15,accuracy,simple_minus_belief,0.020833333333333332,0.05322219780487542,0.0,-0.08333333333333333,0.16666666666666666,20,6,0.0,0.04583333333333333
own_round:16,log_loss,simple_minus_belief,-0.011571944963811327,0.08033393304994273,0.0042566431456412274,-0.19947162648922884,0.15343636899105934,20,2,-0.04496288014606871,0.02163697038087821
own_round:16,brier,simple_minus_belief,-0.002462435876978358,0.048095859249232535,0.005939019065301142,-0.14261513474655546,0.09152082212347848,20,2,-0.023470469228523288,0.017120059471261648
own_round:16,accuracy,simple_minus_belief,6.938893903907229e-19,0.05407380704358751,0.0,-0.08333333333333333,0.16666666666666666,20,5,-0.020833333333333332,0.024999999999999998
own_round:17,log_loss,simple_minus_belief,-0.044082193529555974,0.06024191755757512,-0.044930630343237965,-0.15845283546839156,0.07114616367691637,20,0,-0.06969682037315304,-0.018295700383441298
own_round:17,brier,simple_minus_belief,-0.028096563022401592,0.036995335786858645,-0.03057325323363496,-0.08498620191784902,0.04869432178918817,20,0,-0.04383298026646895,-0.011911132244656158
own_round:17,accuracy,simple_minus_belief,0.03333333333333333,0.07354832917984064,0.0,0.0,0.25,20,4,0.004166666666666667,0.06666666666666667
own_round:18,log_loss,simple_minus_belief,-0.006058839315983573,0.04903604562709855,-0.012477752191389992,-0.10833450926175021,0.07418146933855335,20,0,-0.026862742172605633,0.01532657680242783
own_round:18,brier,simple_minus_belief,-0.0010924426495746505,0.04034661020358173,-0.004731735429290925,-0.08214877002470462,0.0611938369917816,20,0,-0.018070311552880136,0.016423068381126293
own_round:18,accuracy,simple_minus_belief,0.029166666666666664,0.11870093630928846,0.0,-0.16666666666666666,0.25,20,0,-0.020833333333333332,0.07916666666666666
own_round:19,log_loss,simple_minus_belief,0.031216011340182898,0.09369326299715326,0.01990385975607875,-0.1862300448062783,0.20230527216278152,20,0,-0.008997207817259092,0.06991037354070376
own_round:19,brier,simple_minus_belief,0.012756307875248165,0.046950278808384864,0.006543517002209789,-0.07242848194977877,0.08006651080788169,20,0,-0.007190030896043685,0.03260387449116607
own_round:19,accuracy,simple_minus_belief,0.0,0.0896712644748284,0.0,-0.16666666666666666,0.25,20,8,-0.0375,0.037500000000000006
own_round:20,log_loss,simple_minus_belief,-0.018573517003303258,0.0737566472629695,-0.02563284984570321,-0.16240492512367183,0.12558816768288128,20,0,-0.04977188044949575,0.013123847886820013
own_round:20,brier,simple_minus_belief,-0.012995095780361548,0.05115417201353224,-0.020163844292776997,-0.12010372288549417,0.08956316475134443,20,0,-0.034372016961251715,0.009158136566836693
own_round:20,accuracy,simple_minus_belief,0.025,0.11816085774948304,0.0,-0.16666666666666666,0.3333333333333333,20,1,-0.024999999999999998,0.07916666666666665
